"nome","frecuencia","porcentaxe","tempo"
"MARIA",467,5,2000
"ANDREA",367,3.9,2000
"LAURA",363,3.9,2000
"PAULA",358,3.8,2000
"ALBA",351,3.8,2000
"SARA",321,3.4,2000
"LUCIA",313,3.4,2000
"MARTA",248,2.7,2000
"ANA",231,2.5,2000
"NEREA",213,2.3,2000
"IRIA",177,1.9,2000
"ANTIA",163,1.7,2000
"CRISTINA",153,1.6,2000
"CARLA",145,1.6,2000
"UXIA",126,1.4,2000
"NOELIA",125,1.3,2000
"RAQUEL",104,1.1,2000
"CARMEN",102,1.1,2000
"LARA",99,1.1,2000
"SOFIA",85,0.9,2000
"TAMARA",84,0.9,2000
"CLAUDIA",82,0.9,2000
"NATALIA",82,0.9,2000
"TANIA",80,0.9,2000
"PATRICIA",78,0.8,2000
"ELENA",76,0.8,2000
"IRENE",76,0.8,2000
"SANDRA",75,0.8,2000
"NURIA",74,0.8,2000
"ANGELA",70,0.8,2000
"LORENA",69,0.7,2000
"ALICIA",68,0.7,2000
"SABELA",67,0.7,2000
"INES",62,0.7,2000
"SILVIA",62,0.7,2000
"EVA",61,0.7,2000
"CLARA",56,0.6,2000
"CARLOTA",55,0.6,2000
"LIDIA",52,0.6,2000
"ALEJANDRA",51,0.5,2000
"JENNIFER",51,0.5,2000
"NOA",50,0.5,2000
"MIRIAM",48,0.5,2000
"MARINA",45,0.5,2000
"HELENA",41,0.4,2000
"BEATRIZ",40,0.4,2000
"ROCIO",40,0.4,2000
"AIDA",39,0.4,2000
"BELEN",38,0.4,2000
"CANDELA",38,0.4,2000
"MARIA",390,4.2,2001
"LAURA",362,3.9,2001
"SARA",339,3.6,2001
"ALBA",332,3.5,2001
"LUCIA",329,3.5,2001
"ANDREA",301,3.2,2001
"PAULA",298,3.2,2001
"NEREA",257,2.7,2001
"MARTA",247,2.6,2001
"ANA",238,2.5,2001
"IRIA",191,2,2001
"CARLA",179,1.9,2001
"UXIA",160,1.7,2001
"ANTIA",139,1.5,2001
"CARMEN",135,1.4,2001
"RAQUEL",121,1.3,2001
"CRISTINA",115,1.2,2001
"SOFIA",112,1.2,2001
"NOELIA",109,1.2,2001
"LARA",107,1.1,2001
"CLAUDIA",99,1.1,2001
"EVA",87,0.9,2001
"IRENE",87,0.9,2001
"NURIA",78,0.8,2001
"ELENA",77,0.8,2001
"SANDRA",76,0.8,2001
"SILVIA",76,0.8,2001
"INES",75,0.8,2001
"NATALIA",73,0.8,2001
"ALEJANDRA",68,0.7,2001
"CLARA",67,0.7,2001
"SABELA",67,0.7,2001
"ALICIA",66,0.7,2001
"ANGELA",66,0.7,2001
"NOA",65,0.7,2001
"ZAIRA",64,0.7,2001
"TANIA",61,0.7,2001
"PATRICIA",58,0.6,2001
